date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:59	115/115	---M-Z	200	added ('OK')	text/plain	date:Sun,%2001%20Sep%202024%2010:17:00%20GMT	https://asurascanslation.com/robots.txt		(from )
15:47:00	178174/178174	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Sep%202024%2010:17:00%20GMT	https://asurascanslation.com/	C:/ILLUMINATI/final/herebaby/asurascanslation.com/index.html	(from )
15:47:00	59016/59016	---MCZ	200	added ('OK')	text/css	etag:W/%22e688-666de575-6a05264;br%22	https://asurascanslation.com/wp-includes/css/dashicons.min.css?ver=6.6.1	C:/ILLUMINATI/final/herebaby/asurascanslation.com/wp-includes/css/dashicons.minb6a4.css	(from https://asurascanslation.com/)
15:47:00	1058/1058	---MCZ	200	added ('OK')	text/css	etag:W/%22422-66822b80-6b86f1f;br%22	https://asurascanslation.com/wp-content/plugins/post-views-counter/css/frontend.min.css?ver=1.4.7	C:/ILLUMINATI/final/herebaby/asurascanslation.com/wp-content/plugins/post-views-counter/css/frontend.min6dbf.css	(from https://asurascanslation.com/)
15:47:00	149180/149180	---MCZ	200	added ('OK')	text/css	etag:W/%22246bc-666de6da-6a05821;br%22	https://asurascanslation.com/wp-content/themes/mangareader/style.css?ver=2.1.8	C:/ILLUMINATI/final/herebaby/asurascanslation.com/wp-content/themes/mangareader/stylecc91.css	(from https://asurascanslation.com/)
15:47:00	12761/12761	---MCZ	200	added ('OK')	text/css	etag:W/%2231d9-666de6da-6a057a6;br%22	https://asurascanslation.com/wp-content/themes/mangareader/assets/css/lightmode.css?ver=2.1.8	C:/ILLUMINATI/final/herebaby/asurascanslation.com/wp-content/themes/mangareader/assets/css/lightmodecc91.css	(from https://asurascanslation.com/)
15:47:01	19800/19800	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf2-4d58%22	https://cdnjs.cloudflare.com/ajax/libs/Swiper/4.5.1/css/swiper.min.css?ver=4.5.1	C:/ILLUMINATI/final/herebaby/cdnjs.cloudflare.com/ajax/libs/Swiper/4.5.1/css/swiper.min8686.css	(from https://asurascanslation.com/)
15:47:02	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Sun,%2001%20Sep%202024%2010:17:03%20GMT	https://asurascanslation.com/wp-admin/admin-ajax.php	C:/ILLUMINATI/final/herebaby/asurascanslation.com/wp-admin/admin-ajax.php	(from https://asurascanslation.com/)
15:47:02	100496/100496	---MCZ	200	added ('OK')	text/javascript	etag:W/%2218890-666de6da-6a057d2;br%22	https://asurascanslation.com/wp-content/themes/mangareader/assets/js/jquery.min.js?ver=3.5.1	C:/ILLUMINATI/final/herebaby/asurascanslation.com/wp-content/themes/mangareader/assets/js/jquery.min9d52.js	(from https://asurascanslation.com/)
15:47:02	2987/2987	---MCZ	200	added ('OK')	text/javascript	etag:W/%22bab-666de6da-6a057cc;br%22	https://asurascanslation.com/wp-content/themes/mangareader/assets/js/bookmark.js?ver=2.1.8	C:/ILLUMINATI/final/herebaby/asurascanslation.com/wp-content/themes/mangareader/assets/js/bookmarkcc91.js	(from https://asurascanslation.com/)
15:47:02	2638/2638	---MCZ	200	added ('OK')	text/javascript	etag:W/%22a4e-666de6da-6a057d0;br%22	https://asurascanslation.com/wp-content/themes/mangareader/assets/js/history.js?ver=2.1.8	C:/ILLUMINATI/final/herebaby/asurascanslation.com/wp-content/themes/mangareader/assets/js/historycc91.js	(from https://asurascanslation.com/)
15:47:02	9596/9596	---MCZ	200	added ('OK')	text/javascript	etag:W/%22257c-666de6da-6a057cf;br%22	https://asurascanslation.com/wp-content/themes/mangareader/assets/js/function.js?ver=2.1.8	C:/ILLUMINATI/final/herebaby/asurascanslation.com/wp-content/themes/mangareader/assets/js/functioncc91.js	(from https://asurascanslation.com/)
15:47:03	819/819	---MCZ	200	added ('OK')	text/javascript	etag:W/%22333-666de6da-6a057d9;br%22	https://asurascanslation.com/wp-content/themes/mangareader/assets/js/tabs.js?ver=2.1.8	C:/ILLUMINATI/final/herebaby/asurascanslation.com/wp-content/themes/mangareader/assets/js/tabscc91.js	(from https://asurascanslation.com/)
15:47:03	190340/190340	---M-Z	200	added ('OK')	application/json	date:Sun,%2001%20Sep%202024%2010:17:04%20GMT	https://asurascanslation.com/wp-json/	C:/ILLUMINATI/final/herebaby/asurascanslation.com/wp-json/index.html	(from https://asurascanslation.com/)
15:47:03	834/834	---M-Z	200	added ('OK')	text/xml	date:Sun,%2001%20Sep%202024%2010:17:04%20GMT	https://asurascanslation.com/xmlrpc.php?rsd	C:/ILLUMINATI/final/herebaby/asurascanslation.com/xmlrpc0db0.php	(from https://asurascanslation.com/)
15:47:04	706/706	---M--	200	added ('OK')	image/webp	etag:%222c2-666e901f-6a042d8;;;%22	https://asurascanslation.com/wp-content/uploads/2024/06/cropped-Asura-Icon.png-32x32.webp	C:/ILLUMINATI/final/herebaby/asurascanslation.com/wp-content/uploads/2024/06/cropped-Asura-Icon.png-32x32.webp	(from https://asurascanslation.com/)
